N2,H2,CO,CO2,CH4,C2Hn,gas_LHV,gas_tar,gas_yield,char_yield,CGE,CCE
0,24.2,32.76,30.02,9.92,2.85,11.99,21.52631579,0.76,NaN,47.21450777,64
0,20.27,30.61,34.73,10.18,3.65,11.87,35.17977528,0.89,NaN,54.7373057,81
0,22.98,33.3,30.51,10.15,2.43,11.81,22.33333333,1.02,NaN,62.41554404,89
0,21.54,31.29,34.59,9.76,2.49,11.26,33.25287356,0.87,NaN,50.75751295,80
0,23.15,33.46,30.92,10.23,1.98,11.67,20.59793814,0.97,NaN,58.65233161,85.1
0,18.06,34.83,31.88,10.19,4.45,12.63,31.42,1,NaN,65.44041451,94.5
0,21.87,33.92,31.19,10,2.46,11.69,20.08411215,1.07,NaN,64.80984456,94.59
0,18.93,33.69,32.42,10.02,4.28,12.43,40.27835052,0.97,NaN,62.47202073,94.87
0,21.93,34.28,30.6,9.72,2.84,11.86,26.36538462,1.04,NaN,63.90880829,91.22
0,20.2,31.92,33.19,9.84,4.23,12.24,33.16326531,0.98,NaN,62.15129534,92.8
0,22.08,34.15,30.5,9.54,3.08,11.95,24.4952381,1.05,NaN,65.01295337,93.7
0,19.87,36.63,29.73,9.81,3.29,12.25,35.66346154,1.04,NaN,66.01036269,96
0,22.53,35.71,29.26,9.93,1.97,11.68,21.40178571,1.12,NaN,67.78031088,98
0,20.75,34.16,31.82,9.5,3.13,11.82,26.97029703,1.01,NaN,61.85595855,86
0,22.18,33.95,31.95,9.16,2.12,11.23,22.32323232,0.99,NaN,57.60466321,87
0,19.87,36.63,29.73,9.81,3.29,12.25,33.76237624,1.01,NaN,64.10621762,91
0,22.49,34.94,29.62,9.72,2.56,11.84,24.29245283,1.06,NaN,65.02797927,94
0,34.01,11.34,38.25,10.3,6.1,12.4227065,94.09090909,0.88,175,53.88663538,65.6
0,40.47,13.26,36.76,5.89,3.62,10.304868,63.15789474,0.95,170,48.25565436,62.03
0,46.54,14.65,32.61,2.87,3.33,9.8789029,31.25,1.28,155,62.33053538,75.16
0,51.16,15.66,28.23,2.14,2.81,9.9335485,3.181818182,1.32,100,64.6339233,70.5
0,54.22,22.72,20.61,1.33,1.12,9.8599225,0,1.75,90,85.05379985,84.87
0,38.62,47.57,12.11,0.61,1.09,11.0408803,14.87179487,0.78,145.4,42.45027177,50.38
0,40.92,42.33,13.28,2.44,1.03,11.2479048,6.703296703,0.91,131.1,50.45395262,54.68
0,52.7,25.91,17.75,2.26,1.38,10.5873137,0,1.14,96.7,59.49394991,57.38
0,53.94,23.57,20.8,1.34,0.35,9.48288,0,1.31,96.2,61.23415389,62.86
0,54.22,22.72,20.61,1.33,1.12,9.8599225,0,1.75,94.5,85.05379985,84.87
11.68899752,55.20099855,12.6877535,10.17139321,10.25085722,NaN,12.72,NaN,0.63,62.98,46.60331445,23.12
12.96462611,71.47189269,5.61434305,0,9.949138149,NaN,13.78,NaN,1.19,27.33,95.36418975,20.96
12.74069214,73.84621093,3.72634508,1.003582399,8.683169449,NaN,13.34,NaN,1.3,23.62,100.852885,20.61
13.284786,71.4492446,10.72345494,3.389548003,1.152966456,NaN,10.92,NaN,1.2,25.91,76.20667772,20.76
0,33,30,19,15.5,3,13.15,1.85,1.03,NaN,67.75637819,75.2
0,47,24,19.5,7.5,3,10.85,0.78,1.31,NaN,71.10305153,75.8
0,57,15,21.5,4.5,2,9.76,0.22,1.66,NaN,81.04852426,78.5
0,59,16.5,22,2.5,1.5,9.34,0.18,1.85,NaN,86.43821911,80.86
0,28,35.5,13.5,16,7,13.62,40.15,0.72,NaN,49.05652826,59.19
0,48.5,22.5,15.5,11.5,3,12.11,8.02,1.26,NaN,76.33116558,71
0,56,17.5,21,5,1,10.09,0.23,1.62,NaN,81.76988494,76.79
0,53.5,17,24,4,2,9.38,0.85,1.5,NaN,70.3851926,75.73
0,53,16,25,5.5,1,9.73,1.78,1.43,NaN,69.60430215,71.78
0,52,15,26.5,5,2,9.4,2.86,1.38,NaN,64.89244622,71.16
0,31.5,22,23.5,13.5,9.5,11.598874,38.67,0.78,NaN,45.25823772,58.09066934
0,51,19,21.5,7.5,2,10.712242,0.76,1.4,NaN,75.0232056,69.89144961
55.5,8.4,17.1,13.8,5.2,NaN,5,NaN,NaN,NaN,NaN,NaN
58.2,6.7,15.6,14.9,4.6,NaN,4.4,NaN,NaN,NaN,NaN,NaN
63.8,4.2,12.2,15.8,4,NaN,3.4,NaN,NaN,NaN,NaN,NaN
66.5,3.2,10.7,16.3,3.3,NaN,2.8,NaN,NaN,NaN,NaN,NaN
54.8,5.6,19.1,13.8,6.7,NaN,5.4,NaN,NaN,NaN,NaN,NaN
57.2,4.4,17.4,15.2,5.8,NaN,4.7,NaN,NaN,NaN,NaN,NaN
61.4,3.6,14.5,16,4.5,NaN,3.8,NaN,NaN,NaN,NaN,NaN
64.6,3.1,12.4,16.3,3.6,NaN,3.2,NaN,NaN,NaN,NaN,NaN
23.3,32,23.2,13.1,8.4,NaN,9.4,NaN,NaN,NaN,NaN,NaN
9,42.4,21.8,19,7.8,NaN,10.1,NaN,NaN,NaN,NaN,NaN
6.7,48,17.8,21.8,5.7,NaN,9.3,NaN,NaN,NaN,NaN,NaN
3.2,52,17,22,5.8,NaN,9.9,NaN,NaN,NaN,NaN,NaN
30.6,19.5,28.8,9.5,11.6,NaN,10,NaN,NaN,NaN,NaN,NaN
10.6,35.5,27.1,15.8,11,NaN,11.2,NaN,NaN,NaN,NaN,NaN
5.3,54,13.5,21.6,5.6,NaN,9.6,NaN,NaN,NaN,NaN,NaN
43.73778033,10.89131685,18.50488787,15.0546291,6.325474411,2.346175963,5.77,13.78,NaN,NaN,NaN,NaN
19.90746861,19.72240582,25.41969597,23.83344349,8.314606742,2.842035691,7.27,18.67,NaN,NaN,NaN,NaN
8.199288256,22.90391459,30.60498221,27.77224199,10.10676157,3.658362989,8.26,19.55,NaN,NaN,NaN,NaN
43.34110852,12.58469399,18.78262801,15.06164612,5.853604354,1.677218705,5.58,NaN,NaN,NaN,NaN,NaN
22.80297207,19.26723034,23.57161158,22.95669997,8.173200102,2.549321035,7.11,8.18,NaN,NaN,NaN,NaN
7.156619873,22.91494633,27.42912194,27.08505367,9.386182219,3.055326177,8.09,6.62,NaN,NaN,NaN,NaN
53.09508615,5.654116146,15.85194639,13.92469687,4.582003829,2.795149968,4.28,13.47,NaN,NaN,NaN,NaN
27.70562771,9.848484848,23.61111111,21.95165945,7.467532468,4.220779221,5.22,NaN,NaN,NaN,NaN,NaN
11.37032843,13.27293318,30.55492639,28.85617214,9.603624009,5.50396376,5.49,11.39,NaN,NaN,NaN,NaN
0,28,41,12.5,11.5,5.5,15.59545,364,0.73,8.9,61.69446876,50
0,33,37.5,14,10,4,14.262345,245,0.845,6.3,65.30901065,59
0,38,32.5,16.5,8.5,4,13.6316,142,0.96,4.5,70.91588468,70
0,28.5,50,7,10,4,15.356235,154,0.785016641,10.7,65.32645193,62.5
0,41,30,18,7.5,3.5,12.98315,142,1.011109123,3.6,71.13831295,70
0,31.5,40,13.5,10,5,15.010995,243,0.744027072,6.2,60.52345003,59
0,28.5,37.5,17,11.5,5,14.909925,263,0.716240305,6.4,57.870825,59
52.85,14,16.5,13,3.5,0.15,4.5751612,NaN,2.183529621,NaN,54,74.95503728
42.44,25,14,16.5,2,0.06,5.056188672,NaN,2.59780654,NaN,71,88.32639898
47.96,23.5,11.5,15,2,0.04,4.463010552,NaN,2.570014089,NaN,62,76.70778577
50.5,17.5,12,16,4,0,6.8756882,NaN,1.85654143,NaN,69,61.91173743
53.03,11,17.5,12.5,4.5,1.47,5.8349549,NaN,1.458451718,NaN,46,56.10662284
51.44,17,12,15,3.5,1.06,4.51156496,NaN,2.214309245,NaN,54,75.12333869
50.04,17.5,11.5,16,4,0.96,4.733556408,NaN,2.188629248,NaN,56,76.20569063
38.508,16,23.5,14.5,7,0.492,7.498750646,NaN,1.628271238,NaN,66,76.66158556
42.04,20,15.5,16.5,5,0.96,6.54783744,NaN,1.8364842,NaN,65,74.04517883
36.27,30,13.5,16,3.5,0.73,6.585199654,NaN,2.627255195,NaN,79,84.69754937
46.31,22,10,19.5,2,0.19,4.346192994,NaN,2.620224186,NaN,52,79.19561125
